epoch,train_loss,test_loss,accuracy_offloading,accuracy_resource,latency,energy,cost,forgetting_score,domain_gap
1,0.1726938784122467,0.1726938784122467,0.9883999824523926,0.0,0.0,0.0,0.0,0.0,0.0
2,9.652503649704158e-07,9.652503649704158e-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.335113791218646e-08,2.335113791218646e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,7.858027117890742e-09,7.858027117890742e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0070862366262645e-08,1.0070862366262645e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7.693635950545286e-09,7.693635950545286e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.664493928416505e-09,7.664493928416505e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,4.002503573019567e-08,4.002503573019567e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,6.096614324491156e-09,6.096614324491156e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8.756885883087762e-09,8.756885883087762e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,6.783366313101169e-09,6.783366313101169e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.0472553491069903e-08,1.0472553491069903e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,9.822399782422053e-09,9.822399782422053e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2.1879685618841904e-08,2.1879685618841904e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,6.349626602286662e-08,6.349626602286662e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1.0701289632208955e-08,1.0701289632208955e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,6.160947307876086e-09,6.160947307876086e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,9.677304291244582e-09,9.677304291244582e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8.369092086013552e-09,8.369092086013552e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.2255397585647643e-08,1.2255397585647643e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,8.543125318283273e-09,8.543125318283273e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.5727135149745664e-08,1.5727135149745664e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8.895162828537195e-09,8.895162828537195e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,5.433168137614075e-09,5.433168137614075e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2.3053404518691423e-08,2.3053404518691423e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1.3328065762152619e-08,1.3328065762152619e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,9.556955227196795e-09,9.556955227196795e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,7.366202314784687e-09,7.366202314784687e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,5.120775803391098e-09,5.120775803391098e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1.3578471680375515e-07,1.3578471680375515e-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,3.2129214844189846e-08,3.2129214844189846e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1.043775910147815e-08,1.043775910147815e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1.1891362561300411e-08,1.1891362561300411e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,8.387149641464475e-09,8.387149641464475e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,5.240933020900229e-09,5.240933020900229e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,3.868688480679339e-08,3.868688480679339e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,7.087111342229946e-09,7.087111342229946e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1.5759232141476787e-08,1.5759232141476787e-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0
