round,loss,accuracy,latency,energy,cost
1,1.86713166475296,0.54,594249.3970591062,0.1135267720605971,297124.755292939
2,1.8836534762382506,0.54,637246.0652589563,0.1135267720605971,318623.0893928643
3,2.816114205121994,0.54,714084.9932570597,0.11352677206059704,357042.5533919161
4,1.982579481601715,0.4646,2442211.0990876346,21558152.170020692,12000181.634554159
5,1.8938725483417511,0.54,680261.8383537845,0.11352677206059707,340130.97594027827
6,2.096652262210846,0.4606,2456423.854755556,21692819.092629313,12074621.47369243
7,2.272504301071167,0.4601,2458214.3569083633,21712813.179290675,12085513.76809952
8,2.2401409101486207,0.4606,2457873.220284396,21710125.27324125,12083999.246762818
9,2.9228946840763093,0.54,727667.1895780093,0.11352677206059707,363833.65155239054
10,2.237640209197998,0.4604,2456611.728284143,21697075.843810976,12076843.78604756
11,2.2671217107772828,0.4625,2455213.685757505,21642908.681123324,12049061.183440413
12,1.8589246249198914,0.5465,769503.7433177797,572990.1360875529,671246.9397026664
13,2.4444092679023743,0.4618,2455913.0461542797,21677925.48798756,12066919.267070917
14,3.204971513748169,0.54,739297.7310349189,0.1135267720605971,369648.9222808455
15,1.9662936627864838,0.5379,727390.6459013817,127111.1020577337,427250.8739795577
16,4.299717192649841,0.46,2458548.0936276545,21716924.53906331,12087736.316345481
17,1.9866759657859803,0.5406,731032.2510558203,102857.95631957092,416945.1036876954
18,1.9950769233703614,0.5394,717019.4028827103,51473.90599992614,384246.65444131836
19,2.486917266845703,0.4623,2454633.7429027823,21628193.312342938,12041413.52762286
20,2.37373628616333,0.4662,2437003.586333816,21393406.901306443,11915205.243820129
21,2.4547594738006593,0.4644,2440708.3535313727,21438088.898134965,11939398.625833169
22,2.4863552701473237,0.4665,2445044.103980802,21476423.59190412,11960733.847942462
23,3.2901149868965147,0.54,741896.157192959,0.1135267720605971,370948.13535986556
24,4.83967796087265,0.54,758549.5292982343,0.11352677206059711,379274.8214125033
25,3.9644227874279023,0.46,2458548.0936276545,21716924.53906331,12087736.316345481
26,2.1562007379531862,0.4648,2448221.440193056,21525946.59099602,11987084.015594536
27,3.370269635915756,0.54,750009.4997379433,0.1135267720605971,375004.8066323575
28,1.8531325006484984,0.5316,871374.5810646524,1426290.4568538452,1148832.5189592487
29,3.4359445965290067,0.54,751194.8289064913,0.1135267720605971,375597.4712166316
30,2.8540159463882446,0.4606,2455537.765054963,21684492.97672458,12070015.370889774
